strategy,symbols,emaFast,emaSlow,minRsi,maxRsi,minVolumeFactor,maxVolumeFactor,atrStop,atrTake,trainTrades,trainNetPnl,trainPF,trainWinRate,trainMaxDD,testTrades,testNetPnl,testPF,testWinRate,testMaxDD,score,candidate
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","1","N/A","1","1.5","2","-1.35","0.28","50","1.87","4","-0.37","0.89","50","2.48","7.08","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","1","N/A","1","1.5","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","ETH-USDT","9","21","42","55","1","N/A","1","1.5","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","1","N/A","1","1.5","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","1","N/A","1","1.5","5","-1.02","0.56","60","2.33","13","-0.94","0.9","46.15","3.12","6.8","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","1","N/A","1","1.5","0","0","N/A","0","0","3","-2.86","0","0","1.72","-7.44","false"
"trendMomentum","ETH-USDT","20","50","42","55","1","N/A","1","1.5","0","0","N/A","0","0","1","-1.14","0","0","1.14","-3.42","false"
"trendMomentum","BTC-USDT","20","50","42","55","1","N/A","1","1.5","0","0","N/A","0","0","2","-1.72","0","0","1.72","-5.16","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","1","N/A","1","1.5","11","-1.58","0.76","54.55","4.14","15","7.08","2.05","66.67","2.5","25.96","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","1","N/A","1","1.5","0","0","N/A","0","0","4","-2.02","0.29","25","1.72","-2.86","false"
"trendMomentum","ETH-USDT","30","100","42","55","1","N/A","1","1.5","0","0","N/A","0","0","2","-0.3","0.74","50","1.14","5.66","false"
"trendMomentum","BTC-USDT","30","100","42","55","1","N/A","1","1.5","0","0","N/A","0","0","2","-1.72","0","0","1.72","-5.16","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","1","N/A","1","2","2","-1.02","0.45","50","1.87","4","0.9","1.27","50","2.48","4.27","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","1","N/A","1","2","0","0","N/A","0","0","1","-0.89","0","0","0.89","-2.67","false"
"trendMomentum","ETH-USDT","9","21","42","55","1","N/A","1","2","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
